has_cbk,merchant_id,count_merchant
TRUE,17275,22
TRUE,4705,19
TRUE,1308,15
TRUE,53041,14
TRUE,77130,13
TRUE,44927,11
TRUE,91972,11
TRUE,73271,10
TRUE,29214,9
TRUE,55854,9
TRUE,42356,8
TRUE,65330,8
TRUE,66876,7
TRUE,99510,7
TRUE,49919,7
TRUE,81795,6
TRUE,48126,6
TRUE,18267,6
TRUE,75917,6
TRUE,38337,6
TRUE,15326,5
TRUE,38568,5
TRUE,4153,5
TRUE,89943,5
TRUE,36700,5
TRUE,8942,5
TRUE,56107,4
TRUE,72723,4
TRUE,97291,4
TRUE,36617,4
TRUE,20663,4
TRUE,18344,4
TRUE,39253,4
TRUE,25932,4
TRUE,73205,3
TRUE,49909,3
TRUE,38755,3
TRUE,91446,3
TRUE,98272,3
TRUE,59875,3
TRUE,65241,3
TRUE,54603,3
TRUE,52897,3
TRUE,71378,3
TRUE,60779,3
TRUE,62052,3
TRUE,41354,3
TRUE,67764,2
TRUE,5533,2
TRUE,23722,2
TRUE,83142,2
TRUE,63050,2
TRUE,15950,2
TRUE,3531,2
TRUE,60526,2
TRUE,46609,2
TRUE,46045,2
TRUE,82867,2
TRUE,74211,2
TRUE,35917,2
TRUE,62988,2
TRUE,11911,2
TRUE,48982,2
TRUE,71507,2
TRUE,77570,2
TRUE,16266,2
TRUE,92895,1
TRUE,68657,1
TRUE,53816,1
TRUE,11470,1
TRUE,56977,1
TRUE,49710,1
TRUE,68953,1
TRUE,84970,1
TRUE,62194,1
TRUE,5404,1
TRUE,11570,1
TRUE,92215,1
TRUE,48912,1
TRUE,99644,1
TRUE,4694,1
TRUE,29744,1
TRUE,23531,1
TRUE,38901,1
TRUE,83982,1
TRUE,18768,1
TRUE,5252,1
TRUE,21281,1
TRUE,13096,1
TRUE,73922,1
TRUE,3109,1
TRUE,67075,1
TRUE,12745,1
TRUE,91352,1
TRUE,94198,1
TRUE,90035,1
TRUE,5763,1
TRUE,62613,1
TRUE,1175,1
TRUE,2842,1
TRUE,76239,1
TRUE,8787,1
TRUE,25473,1
TRUE,84902,1
TRUE,96692,1
TRUE,1017,1
TRUE,25199,1
TRUE,9292,1
TRUE,81894,1
TRUE,54572,1
TRUE,74450,1
TRUE,94053,1
TRUE,7535,1
TRUE,45399,1
TRUE,11973,1
TRUE,23017,1
TRUE,70899,1
TRUE,76725,1
